ryhm	group_concat(distinct(votmesused.lemma))	group_concat(distinct(votmesused.teksti_kood))
0	suitsuruum	eol_970203
1	isik,poolt,positsioon,tasand	eol_315678,eol_472648,eol_970203,ert_350450
2	majandusprognoos,näitaja,statistika	eol_970203,ert_350450
3	müük	eol_970203
5	kuulsus	eol_315678
6	kukeseen,mustikas,seen	ert_315541
7	mõni,sõna,või	eol_315678,eol_970203,ert_315541,ert_350450
9	lohusalu	ert_315541
10	terviseorganisatsioon,who	eol_970203
12	raam	eol_970203
16	kajastus,reklaamimine	eol_315678,eol_970203
17	hingama	eol_970203
18	koostööpartner,organisatsioon	eol_315678,eol_970203
19	oreool,usk	eol_970203
20	kõne,näide,täna	eol_315678,ert_315541,ert_350450
21	elustiil,harjumus,tavarutiin	eol_315678,eol_970203
22	atraktiivsem,kallim,kehvem,kõrgem,lihtsam,madalam,parem,tervislikum,vähem	eol_315678,eol_970203,ert_350450,ol_2024-03-19_32
23	hinnatõus,langus,nõudlus	ert_350450
25	raiuma	eol_970203
26	kruusimägi	eol_970203
27	lugu	eol_315678
28	naerma	eol_315678
30	kümmekond,poolteist	eol_315678,eol_970203
32	harjutama,külakord	eol_315678,eol_970203
33	personal,spetsialist,tervishoiuspetsialist	eol_476728,eol_970203
35	journal,wall	eol_1608688177
37	populaarne	ol_2009-05-15_96
38	ala,päike,ümber	eol_315678,eol_970203,ol_2009-05-15_96
40	fraktsioonikaaslane,isamaa,parlamendifraktsioon,reformierakond	eol_970203
44	püsimatu,tundlik	eol_315678
45	klientuur,tarbija,toode,tootekategooria,tootja,turg,turuletulek,turustaja	eol_970203,ert_350450
46	pearu	eol_315678
48	küla	eol_315678
50	rünnak,vastutegevus,võitlus	eol_970203
51	aerosool,lõhnaaine,toksiin,vedelik,vingugaas	eol_970203
53	eesmärk,prioriteet	eol_1608688177,eol_970203
55	laadimine,võimendaja	eol_970203
57	lennufirma,lot,nordica	eol_315678
58	metsik	ert_315541
59	nõus	eol_472648
60	maja,õnn,oü	eol_315678,eol_472648
62	eest,huvi,kompensatsioon,maksma,summa,tasuma	eol_1608688177,eol_315678,eol_970203,ert_350450
65	kops	eol_970203
66	hulka	eol_970203
68	sööma,võileib	eol_315678,eol_970203,ert_315541
69	kõik,mööduma	eol_315678,eol_476728,eol_970203,ert_315541,ert_350450
70	ookean,põhi	eol_1608688177,eol_315678
73	pinge,unevõlg	eol_1608688177,eol_315678
74	tšehhov	ol_2024-03-19_32
79	kool	eol_315678,eol_476728,eol_970203
80	kodu,majapidamine,mets	eol_315678,ert_315541,ert_350450
82	alus,õigus,seaduselooja	eol_315678,eol_970203,ert_350450
84	loosung,väljend	eol_315678,eol_970203
88	kriipiv	eol_315678
89	häll,järeltulija	eol_315678
92	mada	ol_2024-03-19_32
93	alternatiivne,erinev,n-ö,nii-öelda,no,põhinev,seesama,teisisõnu	eol_1608688177,eol_315678,eol_970203,ert_315541
94	puupüsti,saal	eol_315678,eol_970203
96	õppima	eol_315678
104	puu,vaimsus	eol_315678,ert_315541
105	kuupäev	eol_315678
106	lahing	eol_970203
109	entertainment	eol_315678
113	spetsiaalne	eol_970203
116	film,seriaal	eol_315678,ol_2024-03-19_32
117	öö	eol_315678
118	avaldus,hoiatus,sõnum	eol_970203,ert_350450
120	lobistamine	eol_970203
121	instituut	eol_970203
126	mees,naine,noormees,teenijanna,vanadaam	eol_315678,eol_970203,ol_2008-12-14_29,ol_2024-03-19_32
127	dramaatiline,ebameeldiv,hirmutav,kohe,naljakas,ootamatu	eol_315678,eol_970203,ert_315541,ert_350450
129	aruanne,dokument,tähtaegselt	eol_472648,eol_970203
130	kompanii	eol_315678
131	eriline,uudne	eol_970203
133	laine,meri	ert_315541,ert_350450
134	analüüs,uuring	eol_970203
135	populaarsem	eol_970203
